"family_id","canonical_key","n_flippers","valid","n_axis","n_diagonal","n_oblique","geometry_class","mean_distance_from_s","max_distance_from_s","mean_manhattan_from_s","max_manhattan_from_s","max_chebyshev_from_s","mean_pairwise_distance","adjacent_components","n_orientations","symmetry_count","gf2_rank","nullity","full_rank","reachable_states_log2","reachable_states","solutions_per_reachable_log2","solutions_per_reachable","distinct_move_rows","distinct_move_columns","mean_move_overlap","max_move_overlap","prop_moves_overlap","prop_overlap_2plus","sd_move_overlap","mean_move_hamming","min_move_hamming","max_move_hamming","sd_move_hamming","mean_local_hamming","min_local_hamming","max_local_hamming","sd_local_hamming","mean_pair_effect","min_pair_effect","max_pair_effect","sd_pair_effect","prop_pair_effect_small","effect_mean_pair_distance","effect_max_pair_distance","effect_sd_pair_distance","comparison_group","z_spatial_dispersion","z_local_change","z_overlap_variability","z_asymmetry","z_components","structural_difficulty_score","difficulty_percentile","difficulty_rank_within_group","difficulty_band"
29,"-1:-2|2:0",2,TRUE,1,0,1,"mixed",2.11803398874989,2.23606797749979,2.5,3,2,2.35483170074866,3,8,1,25,0,TRUE,25,33554432,0,1,25,25,0.25,1,0.25,0,0.43373619897468,5.5,4,6,0.86747239794936,6,6,6,0,5.5,4,6,0.86747239794936,0.25,2.35483170074866,2.82842712474619,0.426792094261082,"F2_R25",1.19753630407616,0.786850975951619,-0.536127927905471,0.762372364390212,1.39805059083906,3.60868230735159,0.906976744186046,4,"very_hard"
7,"-2:-2|-2:0",2,TRUE,1,1,0,"mixed",2.41421356237309,2.82842712474619,3,4,2,2.2761423749154,3,8,1,25,0,TRUE,25,33554432,0,1,25,25,0.25,1,0.25,0,0.43373619897468,5.5,4,6,0.86747239794936,6,6,6,0,5.5,4,6,0.86747239794936,0.25,2.2761423749154,2.82842712474619,0.478292623476201,"F2_R25",0.970610262720523,0.786850975951619,-0.536127927905471,0.762372364390212,1.39805059083906,3.38175626599595,0.86046511627907,7,"very_hard"
26,"-2:-1|0:-2",2,TRUE,1,0,1,"mixed",2.11803398874989,2.23606797749979,2.5,3,2,2.15737865166653,3,8,1,25,0,TRUE,25,33554432,0,1,25,25,0.25,1,0.25,0,0.43373619897468,5.5,4,6,0.86747239794936,6,6,6,0,5.5,4,6,0.86747239794936,0.25,2.15737865166653,2.23606797749979,0.136293910356554,"F2_R25",0.628116775984733,0.786850975951619,-0.536127927905471,0.762372364390212,1.39805059083906,3.03926277926016,0.837209302325581,8,"very_hard"
16,"-1:-1|2:2",2,TRUE,0,2,0,"diagonal_only",2.12132034355964,2.82842712474619,3,4,2,2.35702260395516,2,4,2,25,0,TRUE,25,33554432,0,1,25,25,0.25,2,0.166666666666667,0.0833333333333333,0.596113387342175,5.5,2,6,1.19222677468435,6,6,6,0,5.5,2,6,1.19222677468435,0.166666666666667,2.35702260395516,2.82842712474619,0.816496580927726,"F2_R25",1.20385447984371,0.786850975951619,1.8228349548786,-1.00312153209238,0,2.81041887858154,0.813953488372093,9,"very_hard"
33,"-1:-2|2:1",2,TRUE,0,0,2,"off_axis",2.23606797749979,2.23606797749979,3,3,2,2.43352102658192,3,4,2,25,0,TRUE,25,33554432,0,1,25,25,0.25,1,0.25,0,0.43373619897468,5.5,4,6,0.86747239794936,6,6,6,0,5.5,4,6,0.86747239794936,0.25,2.43352102658192,2.82842712474619,0.341998713119646,"F2_R25",1.4244623454318,0.786850975951619,-0.536127927905471,-1.00312153209238,1.39805059083906,2.07011445222463,0.790697674418605,10,"hard"
18,"-2:-2|2:2",2,TRUE,0,2,0,"diagonal_only",2.82842712474619,2.82842712474619,4,4,2,2.35702260395516,2,2,4,25,0,TRUE,25,33554432,0,1,25,25,0.25,2,0.166666666666667,0.0833333333333333,0.596113387342175,5.5,2,6,1.19222677468435,6,6,6,0,5.5,2,6,1.19222677468435,0.166666666666667,2.35702260395516,2.82842712474619,0.816496580927726,"F2_R25",1.20385447984371,0.786850975951619,1.8228349548786,-1.88586848033368,0,1.92767193034025,0.767441860465116,11,"hard"
12,"-1:-1|2:-2",2,TRUE,0,2,0,"diagonal_only",2.12132034355964,2.82842712474619,3,4,2,2.15956955487303,2,8,1,25,0,TRUE,25,33554432,0,1,25,25,0.25,1,0.25,0,0.43373619897468,5.5,4,6,0.86747239794936,6,6,6,0,5.5,4,6,0.86747239794936,0.25,2.15956955487303,2.82842712474619,0.710203496540455,"F2_R25",0.634434951752277,0.786850975951619,-0.536127927905471,0.762372364390212,0,1.64753036418864,0.720930232558139,12,"hard"
13,"-2:-1|2:-2",2,TRUE,0,1,1,"off_axis",2.53224755112299,2.82842712474619,3.5,4,2,2.15956955487303,2,8,1,25,0,TRUE,25,33554432,0,1,25,25,0.25,1,0.25,0,0.43373619897468,5.5,4,6,0.86747239794936,6,6,6,0,5.5,4,6,0.86747239794936,0.25,2.15956955487303,2.82842712474619,0.710203496540455,"F2_R25",0.634434951752277,0.786850975951619,-0.536127927905471,0.762372364390212,0,1.64753036418864,0.720930232558139,12,"hard"
32,"-1:-1|1:2",2,TRUE,0,1,1,"off_axis",1.82514076993644,2.23606797749979,2.5,3,2,2.15956955487303,2,8,1,25,0,TRUE,25,33554432,0,1,25,25,0.25,1,0.25,0,0.43373619897468,5.5,4,6,0.86747239794936,6,6,6,0,5.5,4,6,0.86747239794936,0.25,2.15956955487303,2.82842712474619,0.710203496540455,"F2_R25",0.634434951752277,0.786850975951619,-0.536127927905471,0.762372364390212,0,1.64753036418864,0.720930232558139,12,"hard"
39,"-2:0|0:-2",2,TRUE,2,0,0,"axis_only",2,2,2,2,2,2.2761423749154,3,4,2,25,0,TRUE,25,33554432,0,1,25,25,0.25,1,0.25,0,0.43373619897468,5.5,4,6,0.86747239794936,6,6,6,0,5.5,4,6,0.86747239794936,0.25,2.2761423749154,2.82842712474619,0.478292623476201,"F2_R25",0.970610262720523,0.786850975951619,-0.536127927905471,-1.00312153209238,1.39805059083906,1.61626236951335,0.674418604651163,15,"hard"
