"family_id","canonical_key","n_flippers","valid","n_axis","n_diagonal","n_oblique","geometry_class","mean_distance_from_s","max_distance_from_s","mean_manhattan_from_s","max_manhattan_from_s","max_chebyshev_from_s","mean_pairwise_distance","adjacent_components","n_orientations","symmetry_count"
164,"-1:-2|0:-2|2:2",3,TRUE,1,1,1,"mixed",2.35483170074866,2.82842712474619,3,4,2,2.08943850954093,3,8,1
165,"-2:-2|0:2|2:0",3,TRUE,2,1,0,"mixed",2.2761423749154,2.82842712474619,2.66666666666667,4,2,2.35483170074866,4,4,2
166,"-2:-1|0:-2|2:2",3,TRUE,1,1,1,"mixed",2.35483170074866,2.82842712474619,3,4,2,2.29544983912422,4,8,1
167,"-1:-2|-1:-1|2:2",3,TRUE,0,2,1,"off_axis",2.15956955487303,2.82842712474619,3,4,2,2.09053396114418,2,8,1
168,"-2:-1|-1:-2|2:2",3,TRUE,0,1,2,"off_axis",2.43352102658192,2.82842712474619,3.33333333333333,4,2,2.19781876618641,3,4,2
169,"-1:-2|0:-2|1:-2",3,TRUE,1,0,2,"mixed",2.15737865166653,2.23606797749979,2.66666666666667,3,2,1.74535599249993,2,4,2
170,"-2:-1|-1:-2|0:-2",3,TRUE,1,0,2,"mixed",2.15737865166653,2.23606797749979,2.66666666666667,3,2,1.85373624914541,2,8,1
171,"-1:-2|-1:-1|0:-2",3,TRUE,1,1,1,"mixed",1.88342717995763,2.23606797749979,2.33333333333333,3,2,1.51074918370766,1,8,1
172,"-1:-2|0:-2|0:-1",3,TRUE,2,0,1,"mixed",1.74535599249993,2.23606797749979,2,3,2,1.44171358997881,1,8,1
173,"-1:-1|0:-2|1:-2",3,TRUE,1,1,1,"mixed",1.88342717995763,2.23606797749979,2.33333333333333,3,2,1.71676051329096,1,8,1
174,"-1:-2|0:-2|2:-1",3,TRUE,1,0,2,"mixed",2.15737865166653,2.23606797749979,2.66666666666667,3,2,1.99071198499986,3,8,1
175,"-2:-1|-2:0|0:-2",3,TRUE,2,0,1,"mixed",2.07868932583326,2.23606797749979,2.33333333333333,3,2,2.0500938466243,3,8,1
176,"-1:-2|-1:0|0:-2",3,TRUE,2,0,1,"mixed",1.74535599249993,2.23606797749979,2,3,2,1.74535599249993,2,8,1
177,"-1:-2|0:-2|1:0",3,TRUE,2,0,1,"mixed",1.74535599249993,2.23606797749979,2,3,2,1.88342717995763,2,8,1
178,"-1:-2|0:-2|2:0",3,TRUE,2,0,1,"mixed",2.07868932583326,2.23606797749979,2.33333333333333,3,2,2.14882037116536,3,8,1
179,"-1:-2|2:-1|2:0",3,TRUE,1,0,2,"mixed",2.15737865166653,2.23606797749979,2.66666666666667,3,2,2.08943850954093,3,8,1
180,"-1:-1|-1:2|0:2",3,TRUE,1,1,1,"mixed",1.88342717995763,2.23606797749979,2.33333333333333,3,2,1.81439158622878,2,8,1
