"family_id","canonical_key","n_flippers","valid","n_axis","n_diagonal","n_oblique","geometry_class","mean_distance_from_s","max_distance_from_s","mean_manhattan_from_s","max_manhattan_from_s","max_chebyshev_from_s","mean_pairwise_distance","adjacent_components","n_orientations","symmetry_count","gf2_rank","nullity","full_rank","reachable_states_log2","reachable_states","solutions_per_reachable_log2","solutions_per_reachable","distinct_move_rows","distinct_move_columns"
68,"-2:-1|2:-2|2:-1",3,TRUE,0,1,2,"off_axis",2.43352102658192,2.82842712474619,3.33333333333333,4,2,1.78579610701981,2,8,1,24,1,FALSE,24,16777216,1,2,25,25
69,"-2:-2|-1:-2|0:2",3,TRUE,1,1,1,"mixed",2.35483170074866,2.82842712474619,3,4,2,1.95246277368648,2,8,1,20,5,FALSE,20,1048576,5,32,25,25
70,"-1:-2|1:2|2:2",3,TRUE,0,1,2,"off_axis",2.43352102658192,2.82842712474619,3.33333333333333,4,2,2.12878317245756,3,8,1,24,1,FALSE,24,16777216,1,2,25,25
71,"-2:-2|-1:-2|2:2",3,TRUE,0,2,1,"off_axis",2.63097407566406,2.82842712474619,3.66666666666667,4,2,2.09053396114418,2,8,1,24,1,FALSE,24,16777216,1,2,25,25
72,"-1:-2|0:-2|2:-2",3,TRUE,1,1,1,"mixed",2.35483170074866,2.82842712474619,3,4,2,2.01074918370766,3,8,1,24,1,FALSE,24,16777216,1,2,25,25
73,"-2:-2|-2:0|-2:2",3,TRUE,1,2,0,"mixed",2.55228474983079,2.82842712474619,3.33333333333333,4,2,2.10947570824873,3,4,2,24,1,FALSE,24,16777216,1,2,25,25
74,"-2:-2|-1:-1|0:-2",3,TRUE,1,2,0,"mixed",2.08088022903976,2.82842712474619,2.66666666666667,4,2,1.84517796864425,1,8,1,24,1,FALSE,24,16777216,1,2,25,25
75,"-2:-2|-2:0|-1:0",3,TRUE,2,1,0,"mixed",1.94280904158206,2.82842712474619,2.33333333333333,4,2,1.844082517041,2,8,1,24,1,FALSE,24,16777216,1,2,25,25
76,"-1:-1|0:-2|2:-2",3,TRUE,1,2,0,"mixed",2.08088022903976,2.82842712474619,2.66666666666667,4,2,1.98215370449869,2,8,1,20,5,FALSE,20,1048576,5,32,25,25
77,"-2:-1|0:-2|2:-2",3,TRUE,1,1,1,"mixed",2.35483170074866,2.82842712474619,3,4,2,2.11912944035314,3,8,1,24,1,FALSE,24,16777216,1,2,25,25
78,"-2:-2|-2:0|0:-2",3,TRUE,2,1,0,"mixed",2.2761423749154,2.82842712474619,2.66666666666667,4,2,2.2761423749154,4,4,2,16,9,FALSE,16,65536,9,512,25,25
79,"-2:-2|-1:0|0:-2",3,TRUE,2,1,0,"mixed",1.94280904158206,2.82842712474619,2.33333333333333,4,2,2.0500938466243,3,8,1,20,5,FALSE,20,1048576,5,32,25,25
80,"-1:0|0:-2|2:-2",3,TRUE,2,1,0,"mixed",1.94280904158206,2.82842712474619,2.33333333333333,4,2,2.14882037116536,3,8,1,20,5,FALSE,20,1048576,5,32,25,25
81,"-2:-2|-2:0|0:2",3,TRUE,2,1,0,"mixed",2.2761423749154,2.82842712474619,2.66666666666667,4,2,2.31548703783203,4,8,1,16,9,FALSE,16,65536,9,512,25,25
82,"-1:-2|2:-2|2:0",3,TRUE,1,1,1,"mixed",2.35483170074866,2.82842712474619,3,4,2,2.31548703783203,4,8,1,16,9,FALSE,16,65536,9,512,25,25
83,"-1:-1|2:-2|2:0",3,TRUE,1,2,0,"mixed",2.08088022903976,2.82842712474619,2.66666666666667,4,2,2.11912944035314,3,8,1,24,1,FALSE,24,16777216,1,2,25,25
84,"-1:0|2:-2|2:0",3,TRUE,2,1,0,"mixed",1.94280904158206,2.82842712474619,2.33333333333333,4,2,2.10947570824873,3,8,1,24,1,FALSE,24,16777216,1,2,25,25
